$\theta$,,0.5,,,,,,0.99,,,,,,
Benchmark,, Running Time [GPU h],,# Solved,,Portfolio [%],,Running Time [GPU h],,# Solved,,Portfolio [%],
MNIST_6_100,,61.18,(101%), 694,(-17), 0.0,,107.44,(177%), 711,(+-0), 53.32,,
MNIST_9_100,,74.92,(106%), 560,(-25), 0.58,,109.84,(155%), 586,(+1), 33.99,,
MNIST_CONV_BIG,,1.46,(76%), 925,(+7), 26.67,,2.58,(135%), 925,(+7), 100.0,,
MNIST_CONV_SMALL,,2.91,(152%), 977,(+-0), 0.0,,4.81,(252%), 977,(+-0), 77.21,,
CIFAR_RESNET_2B,,18.36,(110%), 609,(-8), 0.59,,23.97,(144%), 616,(-1), 57.74,,
MARABOU,,53.45,(103%), 192,(+-0), 0.0,,63.4,(122%), 195,(+3), 10.36,,
OVAL21,,54.57,(107%), 195,(-12), 0.54,,72.86,(143%), 208,(+1), 28.06,,
SRI_RESNET_A,,55.72,(105%), 184,(-11), 0.0,,58.31,(110%), 195,(+-0), 16.69,,
CIFAR_100,,29.75,(112%), 354,(-6), 0.0,,38.07,(144%), 361,(+1), 29.51,,
TINY_IMAGENET,,22.06,(125%), 409,(-9), 0.0,,29.11,(165%), 419,(+1), 42.14,,
