Verifiers,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,
Metrics,RMSE,R2,$\rho$,RMSE,R2,$\rho$,RMSE,R2,$\rho$
MNIST_6_100,0.19, 0.86, 0.95,0.18, 0.84, 0.74,0.12, 0.6, 0.46,
MNIST_9_100,0.2, 0.87, 0.93,0.15, 0.82, 0.66,0.08, 0.61, 0.24,
MNIST_CONV_BIG,0.61, -7.85, -0.37,0.59, 0.29, 0.61,0.43, -1.05, 0.23,
MNIST_CONV_SMALL,0.32, 0.01, 0.67,0.43, 0.51, 0.7,0.49, 0.27, 0.58,
CIFAR_RESNET_2B,0.37, 0.54, 0.72,0.27, 0.56, 0.65,-,-,-,
MARABOU,0.19, -0.13, 0.59,0.26, -0.19, 0.15,0.17, -0.03, 0.24,
OVAL21,0.29, 0.57, 0.64,0.22, 0.63, 0.6,0.22, 0.72, 0.62,
VIT,0.26, 0.59, 0.63,-,-,-,-,-,-,
SRI_RESNET_A,0.17, 0.79, 0.75,0.1, 0.78, 0.63,-,-,-,
CIFAR_100,0.26, 0.8, 0.74,0.38, 0.67, 0.75,-,-,-,
TINY_IMAGENET,0.47, 0.5, 0.76,0.31, 0.78, 0.89,-,-,-,
