,,$\theta$=0.9,,,,,,,,,,,,,,
,,$\alpha\beta$-CROWN,,,,,VeriNet,,,,,Oval,,,,,
Benchmark,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved,,,Running Time [GPU h],,# Solved
MNIST_6_100,,18.88,(60%),864,($-$4),,8.96,(13%),569,($-$11),,4.99,(5%),428,($-$2),,
MNIST_9_100,,14.15,(34%),760,($-$7),,6.9,(9%),494,($-$7),,2.21,(2%),386,($-$1),,
MNIST_CONV_BIG,,0.31,(21%),917,($-$1),,2.66,(24%),867,($-$1),,2.16,(14%),838,($-$4),,
MNIST_CONV_SMALL,,1.0,(80%),969,($-$10),,8.44,(71%),930,($-$1),,5.23,(86%),957,($-$1),,
CIFAR_RESNET_2B,,1.92,(13%),618,($-$1),,4.01,(18%),576,($\pm$0),,-,,-,,,
MARABOU,,1.69,(3%),192,($-$1),,2.21,(4%),165,($-$11),,1.63,(3%),183,($-$4),,
OVAL21,,3.06,(6%),205,($-$5),,4.13,(7%),150,($-$8),,5.18,(10%),192,($-$9),,
VIT,,1.35,(3%),249,($-$2),,-,,-,,,-,,-,,,
SRI_RESNET_A,,2.37,(5%),196,($-$2),,3.35,(5%),132,($-$1),,-,,-,,,
CIFAR_100,,2.07,(8%),356,($-$5),,6.09,(15%),268,($-$11),,-,,-,,,
TINY_IMAGENET,,2.14,(15%),418,($-$3),,8.22,(28%),349,($-$7),,-,,-,,,
