$\theta$,,0.8,,,,,,,,,
,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,
Benchmark Group, Benchmark Name, Acc.,TPR,FPR, Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR
MNIST ERAN, MNIST_6_100,0.97, 0.98, 0.03, 0.96, 0.98, 0.11, 0.99, 1.0, 0.2, 
MNIST ERAN, MNIST_9_100,0.97, 0.99, 0.06, 0.87, 1.0, 1.0, 1.0, 1.0, 0.13, 
MNIST ERAN, MNIST_CONV_BIG,0.95, 1.0, 0.1, 0.94, 0.95, 0.07, 0.93, 0.95, 0.15, 
MNIST ERAN, MNIST_CONV_SMALL,0.98, 0.33, 0.0, 0.89, 0.79, 0.06, 0.93, 0.81, 0.03, 
CIFAR 10, CIFAR_RESNET_2B,0.97, 0.99, 0.04, 0.92, 0.98, 0.26, -,-,-,
CIFAR 10, MARABOU,0.99, 1.0, 0.23, 0.95, 1.0, 1.0, 0.98, 0.99, 0.7, 
CIFAR 10, OVAL21,0.97, 0.99, 0.1, 0.87, 1.0, 0.88, 0.96, 1.0, 0.18, 
CIFAR 10, VIT,0.98, 1.0, 0.3, -,-,-,-,-,-,
CIFAR 10, SRI_RESNET_A,0.98, 1.0, 0.08, 0.93, 1.0, 0.93, -,-,-,
LARGE RESNET, CIFAR_100,0.94, 1.0, 0.2, 0.91, 0.99, 0.32, -,-,-,
LARGE RESNET, TINY_IMAGENET,0.94, 0.96, 0.07, 0.97, 0.99, 0.04, -,-,-,
