$\theta$,,0.8,,,,,,,,,0.9,,,,,,,,,
,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,
Benchmark Group, Benchmark Name, Acc.,TPR,FPR, Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR
MNIST ERAN, MNIST_6_100,0.97, 0.98, 0.03, 0.96, 0.98, 0.11, 0.99, 1.0, 0.2, 0.99, 0.99, 0.02, 0.95, 0.96, 0.07, 0.99, 1.0, 0.1, 
MNIST ERAN, MNIST_9_100,0.97, 0.99, 0.06, 0.87, 1.0, 1.0, 1.0, 1.0, 0.13, 0.98, 1.0, 0.03, 0.98, 0.99, 0.09, 0.99, 1.0, 0.07, 
MNIST ERAN, MNIST_CONV_BIG,0.95, 1.0, 0.1, 0.94, 0.95, 0.07, 0.93, 0.95, 0.15, 0.95, 0.9, 0.0, 0.98, 0.95, 0.01, 0.92, 0.93, 0.11, 
MNIST ERAN, MNIST_CONV_SMALL,0.98, 0.33, 0.0, 0.89, 0.79, 0.06, 0.93, 0.81, 0.03, 0.97, 0.0, 0.0, 0.87, 0.63, 0.03, 0.9, 0.6, 0.0, 
CIFAR 10, CIFAR_RESNET_2B,0.97, 0.99, 0.04, 0.92, 0.98, 0.26, -,-,-,0.97, 0.98, 0.03, 0.94, 0.94, 0.05, -,-,-,
CIFAR 10, MARABOU,0.99, 1.0, 0.23, 0.95, 1.0, 1.0, 0.98, 0.99, 0.7, 0.99, 1.0, 0.17, 0.95, 1.0, 1.0, 0.98, 0.98, 0.4, 
CIFAR 10, OVAL21,0.97, 0.99, 0.1, 0.87, 1.0, 0.88, 0.96, 1.0, 0.18, 0.98, 0.99, 0.06, 0.96, 0.98, 0.17, 0.97, 0.99, 0.11, 
CIFAR 10, VIT,0.98, 1.0, 0.3, -,-,-,-,-,-,0.98, 0.99, 0.2, -,-,-,-,-,-,
CIFAR 10, SRI_RESNET_A,0.98, 1.0, 0.08, 0.93, 1.0, 0.93, -,-,-,0.99, 1.0, 0.06, 0.93, 1.0, 0.93, -,-,-,
LARGE RESNET, CIFAR_100,0.94, 1.0, 0.2, 0.91, 0.98, 0.31, -,-,-,0.97, 0.99, 0.07, 0.94, 0.98, 0.19, -,-,-,
LARGE RESNET, TINY_IMAGENET,0.94, 0.96, 0.07, 0.97, 0.99, 0.04, -,-,-,0.97, 0.98, 0.04, 0.97, 0.97, 0.03, -,-,-,
